城ID,城名
4,弘前城
29,松本城
43,犬山城
36,丸岡城
50,彦根城
59,姫路城
64,松江城
68,備中松山城
78,丸亀城
81,松山城
83,宇和島城
84,高知城
58,明石城
77_1,高松城(北之丸月見櫓)
13,白河小峰城
31,新発田城
42,掛川城
74,岩国城
82,大洲城
23_1,小田原城（天守）
39,岐阜城
45,岡崎城
54,大阪城
11,二本松城
61,高取城
67,津山城
30,高遠城
23_2,小田原城(小峯御鐘ノ台大堀切東堀)
38,岩村城
48,松阪城
79,今治城
80,湯築城
87,名護屋城
65,月山富田城
99,中城城
77_2,高松城（旧東の丸艮櫓）
70,岡山城
76,徳島城
