城ID,空港
1,伊丹空港
3,那覇空港
4,新千歳空港
5,新潟空港
9,小松空港
11,青森空港
12,花巻空港
14,徳島空港
17,長崎空港
18,鹿児島空港
19,函館空港
26,高松空港
27,山口宇部空港
29,秋田空港
31,仙台空港
35,三沢空港
23,成田国際空港
